Identifikasjonsnummer	Tittel / betegnelse	Emne nivå 1	Emne nivå 2	Emne nivå 1	Emne nivå 2	Tilstand 0 - 3  (Skjult)	Datering:Sikker eller usikker	Fra:	Til:	Produksjonssted: Sikker eller usikker	By	Land	Verdensdel	Kunstner/produsent	Bredde (cm)	Høyde (cm)	Dybde (cm)	Vekt (gram)	Materiale/teknikk	Proviniens	Oppbevares hvor (Skjult)	Rom:  (Skjult)	H:  (Skjult)	V:  (Skjult)	Annet sted:  (Skjult)	Utlånt  (Skjult)	Supplerende	Nøkkelord	Referanselitteratur
GA_LH_000010	Grönlandske Folkesagn (Kaladlit okalluktualliait). Bind 4	Bøker	Grønland	Minoritetskulturer	Inuitt		Sikker	1863		Sikker	Nuuk (Godthaab)	Grønland	Europa	Rink, Henrik J.	13.4	20.8			Innbundet						IKKE merket	Korea	Godthaab: L. Møller, 1863. Nedskrevet og formidlet av innfødte fra Vest-Grønland, under redaksjon av Henrik J. Rink. Illustrasjoner av Aron fra Kangeq, Lars Møller og Jens Kreuzmann. 	Lysten og hemmeligheten, Grønland, inuitt, minoritetskulturer, illustrerte, bøker, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000011	Held og hasard. Dolk og guitar	Bøker	Artist's books			1	Sikker	1952		Sikker	Silkeborg	Danmark	Europa	Jorn, Asger	19.2	26			Innbundet		Magasinet	Reol A2	Hylle 3	Midten			Silkeborg: Privattryk, 1952. Nr. 21. Utgitt i 25 nummererte og signerte eksemplarer. Illustrasjoner i linoleumssnitt, håndtrykket på imitert bøttepapir. Trykket i tre opplag med ulike papirkvaliteter, henholdsvis 24, 64 og 25 eks. 	Lysten og hemmeligheten, Jorn, linoelumssnittt, artist's books, Danmark, bøker, 1950-1959	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000012	La langue verte et la cuite	Bøker	Artist's books			0	Sikker	1968		Sikker	Paris	Frankrike	Europa	Jorn, Asger & Arnaud, Nöel	22.2	27.5			Innbundet		Magasinet	Reol A2	Hylle 2	Høyre			Paris: Jean-Jacques Pauvert, 1968. Fullstendig tittel: "La langue verte et la cuite. Étude gastrophonique sur la marmythologie musiculinaire". 	Lysten og hemmeligheten, Jorn, artist's books, Danmark, Frankrike, bøker, 1960-1969	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000009_B	Eskimoiske eventyr og sagn. Bind 2	Bøker	Grønland	Minoritetskulturer	Inuitt	1	Sikker	1871		Sikker	København	Danmark	Europa	Rink, Henrik J.	15	23			Innbundet		Magasinet	Reol A2	Hylle 3	Venstre			Kjøbenhavn: C.A. Reitzels bogtrykkeri, 1871. Fullstendig tittel: "Eskimoiske eventyr og sagn med supplement. Indeholdende et tillæg om ekimoerne, deres kulturtrin og øvrige eiendommeligheternsamt formodede herkomst". 	Lysten og hemmeligheten, Grønland, bøker, minoritetskulturer, inuitt, Rink, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000013	Historia de la Curación de Antigua de San Paolito Pahuatlan Pue	Bøker	Leporello	Bøker	Artist's books		Sikker	1978			San Pablito	Mexico	Sør-Amerika	Tellez, Alfonso García	14	18									IKKE merket	Korea	Mexico: Alfonso García Tellez, 1978. Håndskrevet tekst. Illustrasjoner i utskåret barkepapir.	Lysten og hemmeligheten, Mexico, barkepapir, leporello, religiøse tekster, Sør-Amerika, artist's books, 1970-1979	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000014_B	Gart der Gesundheit	Bøker	Inkunabler	Bøker	Illustrerte	1	Sikker	1485		Sikker	Mainz	Tyskland	Europa	Cube, Johannes von	19.3	26.5			Løse blad i eskeomslag		Magasinet	Reol A2	Hylle 1	Venstre, liggende			Mainz 1485. Trykket av Peter Schöffer, Mainz. Fire originale enkeltblad fra boka "Gart der Gesundheit". Del av "Der Buchholzschnitt im 15. Jahrhundert".	Lysten og hemmeligheten, inkunabler, botanikk, illustrerte, bøker, Mainz, Tyskland, Der Buchholzschnitt im 15. Jahrhundert, tresnitt, 1400-1499	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000015	XII. Caesarvm liber primvs. D. Ivlivs Caesar	Bøker	Inkunabler	Bøker	Typografiske	1	Sikker	1480		Sikker	Subiaco	Italia	Europa	Tranquillus, Gaius Suetonius	20.3	30.2			Innbundet		Magasinet	Reol A2	Hylle 2	Venstre			Subiaco 1480. 	Lysten og hemmeligheten, inkunabler, latin, biografier, bøker, Italia, typografi, 1400-1499	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000014_C	Weltchronik 	Bøker	Inkunabler	Bøker	Illustrerte	1	Sikker	1493		Sikker	Nürnberg	Tyskland	Europa	Schedel, Hartman	31.4	34.3			Løse blad i eskeomslag		Magasinet	Reol A2	Hylle 1	Venstre, liggende			Nürnberg 1493. Utgitt av trykker og forlegger Anton Koberger. To originale enkeltblad fra boka "Weltchronik". Del av "Der Buchholzschnitt im 15. Jahrhundert".	Lysten og hemmeligheten, inkunabler, illustrerte, bøker, Nürnberg, Koberger, Tyskland, Der Buchholzschnitt im 15. Jahrhundert, 1400-1499	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000014_D	Geistliche Auslegung des Lebens Jesu Christi	Bøker	Inkunabler	Bøker	Illustrerte		Usikker	1485		Sikker	Ulm	Tyskland	Europa	Sachsen, Ludolf von	18.6	25.4			Løse blad i eskeomslag		Magasinet	Reol A2	Hylle 1	Venstre, liggende			Ulm: Johann Zainer, ca. 1485. Løs, original bokside fra plansjeverket "Der Buchholzschnitt im 15. Jahrhundert".	Lysten og hemmeligheten, inkunabler, illustrerte, bøker, Tyskland, Der Buchholzschnitt im 15. Jahrhundert, Ulm, 1400-1499	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000014_E	Hortus sanitatis	Bøker	Inkunabler	Bøker	Illustrerte	1	Sikker	1491		Sikker	Mainz	Tyskland	Europa	Meydenbach, Jakob	19.8	29			Løse blad i eskeomslag		Magasinet	Reol A2	Hylle 1	Venstre, liggende			Mainz: Jakob Meydenbach, 1491. Løs, original bokside fra plansjeverket "Der Buchholzschnitt im 15. Jahrhundert".	Lysten og hemmeligheten, inkunabler, Tyskland, Mainz, Der Buchholzschnitt im 15. Jahrhundert, latin, 1400-1499	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
