Identifikasjonsnummer	Tittel / betegnelse	Emne nivå 1	Emne nivå 2	Emne nivå 1	Emne nivå 2	Tilstand 0 - 3  (Skjult)	Datering:Sikker eller usikker	Fra:	Til:	Produksjonssted: Sikker eller usikker	By	Land	Verdensdel	Kunstner/produsent	Bredde (cm)	Høyde (cm)	Dybde (cm)	Vekt (gram)	Materiale/teknikk	Proviniens	Oppbevares hvor (Skjult)	Rom:  (Skjult)	H:  (Skjult)	V:  (Skjult)	Annet sted:  (Skjult)	Utlånt  (Skjult)	Supplerende	Nøkkelord	Referanselitteratur
GA_LH_000039_A	Russland: Die Rekonstruktion der Architektur in der Sowjetunion	Magasiner	Andre	Bøker	Russisk avant-garde	1	Sikker	1930		Sikker	Wien	Østerrike	Europa	Lissitzky, El	29	28.9			Heftet, senere sammeninnbundet med nr. 2 og 3		Magasinet	Reol A2	Hylle 2	Høyre			Wien: Anton Schroll & Co, 1930. Hefte nr. 1 i serie om samtidsarkitektur, "Neues Bauen in der Welt". Omslag av El Lissitzky. Senere sammeninnbundet  med nr. 3 og nr.1 fra samme serie. 	Lysten og hemmeligheten, avant-garde, magasiner, Lissitzky, fotomontasje, arkitektur, Tyskland, 1930-1939	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000039_B	Amerika: Die Stilbildung des neuen Bauens in den Vereinigten Staaten	Magasiner	Andre	Bøker	Russisk avant-garde	1	Sikker	1930		Sikker	Wien	Østerrike	Europa	Neutra, Richard	29	28.9			Heftet, senere sammeninnbundet med nr. 2 og 3		Magasinet	Reol A2	Hylle 2	Høyre			Wien: Anton Schroll & Co, 1930. Hefte nr. 2 i serie om samtidsarkitektur, "Neues Bauen in der Welt". Omslag av El Lissitzky. Senere sammeninnbundet  med nr. 3 og nr.1 fra samme serie. 	Lysten og hemmeligheten, avant-garde, magasiner Lissitzky, fotomontasje, arkitektur, Tyskland, 1930-1939	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000039_C	Frankreich: Die Entwicklung der neuen Ideen nach Konstruktion und Form	Magasiner	Andre	Bøker	Russisk avant-garde	1	Sikker	1930		Sikker	Wien	Østerrike	Europa	Ginzburger, Roger	22.5	28.9			Heftet, senere sammeninnbundet med nr. 1 og 3		Magasinet	Reol A2	Hylle 2	Høyre			Wien: Anton Schroll & Co, 1930. Hefte nr. 3 i serie om samtidsarkitektur, "Neues Bauen in der Welt". Omslag av El Lissitzky. Senere sammeninnbundet med nr. 2 og nr.1 fra samme serie. 	Lysten og hemmeligheten, avant-garde, magasiner, Lissitzky, fotomontasje, arkitektur, Tyskland, 1930-1939	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000041	Majakovskijs ungdom	Bøker	Russisk avant-garde			1	Sikker	1931		Sikker	Tbilisi	Georgia	Europa	Kamenskij, Vasilij	12	17			Innbundet		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			Tbilisi: Zakkniga, 1931. Omslag av Bor R (Konstantin Ramenskij).	Lysten og hemmeligheten, avant-garde, bøker, Bor R, Ramenskij, Majakovskij, Russland, Georgia, 1930-1939	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000042	USSR im Bau	Bøker	Russisk avant-garde	Magasiner	Andre	1	Sikker	1933		Sikker	Moskva	Russland	Europa	Pjatakov, Georgij (red.)	30.1	41.8			Heftet		Magasinet	Reol A1	Hylle 1	Høyre, liggende			Moskva: Vereinigung der Staatsverlage RSFSR, nr. 9, 1933. Omslag av El Lissitzky.	Lysten og hemmeligheten, avant-garde, bøker, Lissitzky, fotocollage, typografi, magasiner, 1930-1939	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000043	Arkitektoniske fiksjoner	Bøker	Arkitektur	Bøker	Russisk avant-garde		Sikker	1933		Sikker	St Petersburg / Leningrad	Russland	Europa	Tsjernikov, Jakob 	20.5	30									IKKE merket	Korea	Leningrad: Meshdunarodnaja kniga, 1933.	arkitektur, Tsjernikov, avant-garde, Russland, Lissitzky, 1930-1939	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000044	Eldorado. Varitéplakat	Plakater	Reklameplakater			1	Usikker	1890		Sikker		Norge	Europa	Eldorado	32.5	42			Boktrykk på rispapir, montert i glass og ramme		Magasinet	Skyvevegg A		Midten	IKKE merket (skrudd fast)		Tønsbergs Bogtrykkeri, ca. 1890. Varitéplakat trykket på dekorert rispapir fra Japan. 	Lysten og hemmeligheten, reklame, plakater, Japan, rispapir, Norge, ephemera, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000045	Prøvebok fra gravørverksted	Bøker	Arabiske & orientalske	Bøker	Prøvebøker	2	Usikker			Sikker		Japan	Asia	Ukjent	30	21.5			Avgnidning, innbundet		Magasinet	Reol A1	Hylle 2	Høyre, i kasse			Japan, ukjent år. Enkeltprodusert varekatalog for et metallverksted med avgnidinger av graverte plater.	Lysten og hemmeligheten, Japan, avgnidning, verksted, gravering, metall	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000046	Selvportrett 1836	Bøker	Arabiske & orientalske	Bøker	Illustrerte		Sikker	1850		Sikker		Japan	Asia	Hokusai, Katsushika	15.5	22.3											Japan 1850. Bildebok av Katsushika Hokusai. Reproduksjon i tresnitt av Egawa Tomekicki.	Lysten og hemmeligheten, Japan, tresnitt, Hokusai, bildebøker mangwa, illustrerte, bøker, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000047	Mangwa: Ethon Wakan no Homare	Bøker	Arabiske & orientalske	Bøker	Illustrerte	1	Usikker	1850		Sikker		Japan	Asia	Hokusai, Katsushika	15.7	22.7			Tresnitt på rispapir, heftet		Magasinet	Reol A1	Hylle 2	Høyre, i kasse			Japan ca. 1850. Bildebok av Katsushika Hokusai. Reproduksjon i tresnitt av Egawa Tomekicki. Delbind av 15-bindsverket  "Mangwa". 	Lysten og hemmeligheten, Japan, tresnitt, Hokusai, bildebøker, mangwa, illustrerte, bøker, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000048	Shinji Zuga	Bøker	Arabiske & orientalske	Bøker	Illustrerte	1	Usikker	1825	1828	Sikker		Japan	Asia	Matora, Oishi	32	22.3			Tresnitt på rispapir, heftet		Magasinet	Reol A1	Hylle 2	Høyre, i kasse			Japan ca. 1825-1828. Bind 1. Bildebok av Oishi Matora. Reproduksjon i tresnitt.	Lysten og hemmeligheten,  Japan, tresnitt, Matora, bildebøker, illustrerte, bøker, orientalske, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000049_A	Imayo Tosho Otoko	Bøker	Arabiske & orientalske	Bøker	Illustrerte	1	Usikker	1830	1839	Sikker		Japan	Asia	Kunitora, Utagawa	15	22			Tresnitt på rispapir, heftet		Magasinet	Reol A1	Hylle 2	Høyre, i kasse			Japan ca. 1830-1839. Bind 1. Bildebok i tre bind av Utagawa Kunitora. Reproduksjon i tresnitt.	Lysten og hemmeligheten, Japan, tresnitt, bildebøker, illustrerte, bøker, Kunitora, orientalske, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000049_B	Imayo Tosho Otoko	Bøker	Arabiske & orientalske	Bøker	Illustrerte	1	Usikker	1830	1839	Sikker		Japan	Asia	Kunitora, Utagawa	15	22			Tresnitt på rispapir, heftet		Magasinet	Reol A1	Hylle 2	Høyre, i kasse			Japan ca. 1830-1839. Bind 2. Bildebok i tre bind av Utagawa Kunitora. Reproduksjon i tresnitt.	Lysten og hemmeligheten, Japan, tresnitt, bildebøker, illustrerte, bøker, Kunitora, orientalske, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000049_C	Imayo Tosho Otoko	Bøker	Arabiske & orientalske	Bøker	Illustrerte	1	Usikker	1830	1839	Sikker		Japan	Asia	Kunitora, Utagawa	15	22			Tresnitt på rispapir, heftet		Magasinet	Reol A1	Hylle 2	Høyre, i kasse			Japan ca. 1830-1839. Bind 3. Bildebok i tre bind av Utagawa Kunitora. Reproduksjon i tresnitt.	Lysten og hemmeligheten, Japan, tresnitt, bildebøker, illustrerte, bøker, Kunitora, orientalske, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000050	Process of wood-cut printing	Bøker	Arabiske & orientalske	Bøker	Leporello Illustrerte	1	Usikker			Sikker	Tokyo	Japan	Asia	Watanabe, S. & Hiroshige, A.	37	24			Tresnitt, innbundet		Magasinet	Reol A1	Hylle 2	Høyre, i kasse			Tokyo, ukjent år. Illustrasjoner i tresnitt av Ando Hiroshige.	Lysten og hemmeligheten, Japan, tresnitt, leporello, illustrerte, bøker, Hiroshige, lærebøker, orientalske, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000051	Mangwa	Bøker	Arabiske & orientalske	Bøker	Illustrerte		Sikker	1881		Sikker	Tokyo	Japan	Asia	Kyosai, Kawanabe 	15	22.5									IKKE merket	Korea	Tokyo: Makino Kicibee, 1881. Bildebok av Kawanabe Kyosai. Reproduksjon i tresnitt.
	Lysten og hemmeligheten, bildebøker, illustrerte, bøker, Kyosai, mangwa, Japan, Kawanabe, tresnitt, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000052	Fotoalbum med japanske motiver	Foto / film	Fotoalbum	Bøker	Arabiske & orientalske	0	Usikker	1900		Sikker	Kobe	Japan	Asia	Ukjent	35	27.5			Håndkolorerte fotografier montert i album		Magasinet	Reol A1	Hylle 2	Høyre, i kasse			Kobe: T. Fukasawa, ca. 1900. 	Lysten og hemmeligheten, Japan, foto, fotoalbum, orientalske, 1900-1909	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000053	Bilder av bomull laget av Keiseren	Bøker	Leporello Illustrerte	Bøker	Arabiske & orientalske	3	Sikker	1700	1799	Sikker		Kina	Asia	Guan-cheng, Fang	24.8	24.3			Steintrykk på oppklebet rispapir, innbundet		Magasinet	Reol A1	Hylle 2	Høyre, i kasse			Kina 1700-tallet. Utbrettbok med illustrasjoner av guvernør i Zhi Li, Fang Guan-cheng. 	Lysten og hemmeligheten, Kina, leporello, bildebøker, illustrerte, bøker, orientalske, Guan-cheng, 1700-1799	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000054	Vifte/utbrettbok	Bøker	Leporello Illustrerte	Bøker	Arabiske & orientalske	1	Usikker			Sikker		Kina	Asia	Ukjent	25	24			Tresnitt, innbundet		Magasinet	Reol A1	Hylle 2	Høyre, i kasse			Kina, ukjent år. 	Lysten og hemmeligheten, Kina, leporello, bildebøker, illustrerte, bøker, orientalske	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000058	La fin du monde, filmée par l'ange N.-D.	Bøker	Artist's books			1	Sikker	1919		Sikker	Paris	Frankrike	Europa	Cendars, Blaise 	25.3	31.2			Heftet		Magasinet	Reol A1	Hylle 1	Høyre, i eget etui, liggende			Paris: Éditions de la Sirène, 1919. Nr. 254 av 1225. Filmmanus av Blaise Cendars. Illustrasjoner og omslag av Fernand Léger.	Lysten og hemmeligheten, artist's books, fotomontasje, Léger, Cendars, avant-garde, Frankrike, 1910-1919	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000059	Diurnes. Décopages et Photographies	Bøker	Artist's books	Bøker	Kunstmapper	1	Sikker	1962		Sikker	Paris	Frankrike	Europa	Picasso, Pablo & Villers, André	30	39.7			Falsede, ubundne sider i omslag. Tilhørende futteral i papp		Magasinet	Reol A1	Hylle 1	Høyre, liggende			Paris : Berggruen, 1962. Nr. 130 av 1000. Bildeserie på 30 løse blad av Pablo Picasso og André Villers. Tekst av Jacques Prévert. Omslag av Pablo Picasso.	Lysten og hemmeligheten, bøker, artist's books, Picasso, Villers, Prévert, Frankrike, decopage, papirklipp, 1960-1969	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000060	Le Surréalisme en 1947	Bøker	Kataloger			1	Sikker	1947		Sikker	Paris	Frankrike	Europa	Duchamp, Marcel, & Breton, André	20.2	23.4			Heftet. Tilhørende futteral i papp		Magasinet	Reol A2	Hylle 3	Midten			Paris: Pierre à Feu, Maeght, 1947. Nr. 980 av 999. Katalog for utstillingen "Expoition Internationale du Surréalisme" i Paris 1947. Med 24 originale trykk av Victor Brauner, Max Ernst, Jacques Hérold, Wilfredo Lam, Joan Miró, Hans Bellmer, Marcel Jean, Maria Martins, Yves Tanguy and Dorothea Tanning, Hans Arp, Serge Brignoni, Alexander Calder, Bruno Capacci, Elizabeth van Damme, Julio de Diego, Enrico Donati, David Hare, Jacqueline Lamba, Roberto Matta, Kay Sage, Yves Tanguy & Toyen. Omslag av Marcel Duchamp.	Lysten og hemmeligheten, bøker, kataloger, Duchamp, Breton, Frankrike, originalgrafikk, 1940-1949	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000061	Le Mirivis des Naturgies	Bøker	Artist's books	Bøker		0	Sikker	1962	1963	Sikker	Paris	Frankrike	Europa	Dubuffet, Jean & Martel, André	23.8	29.8			Heftet. Tilhørende futteral i papp		Magasinet	Reol A2	Hylle 2	Høyre			Paris: Alexandré Loewy, 1963. Nr. 60. Utgitt i 110 nummererte og signerte eksemplarer. Med 14 originale litografier av Jean Dubuffet. Tekst av André Martel.	Lysten og hemmelighete, bøker, artist's books, Dubuffet, Martel, Frankrike, originalgrafikk, litografi, 1960-1969	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000062	Deutschland, Deutschland über alles	Bøker	Fotobøker			1	Sikker	1929		Sikker	Berlin	Tyskland	Europa	Tucholsky, Kurt	19	24			Innbundet		Magasinet	Reol A2	Hylle 3	Midten			Berlin: Neuer Deutscher Verlag, 1929. Tekst av Kurt Tucholsky. Omslag og fotomontasjer av John Heartfield.	Lysten og hemmeligheten, bøker, foto, Tucholsky, Heartfield, fotomontasje, Tyskland, 1920-1929	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000063	Des Canons, Des Munitions Merci! Des Logis... s.v.p.	Bøker	Le Corbusier	Bøker	Arkitektur	1	Sikker	1938		Sikker	Boulogne	Frankrike	Europa	Corbusier, Le & Jeanneret, Pierre	28.7	23			Innbundet		Magasinet	Reol A2	Hylle 3	Høyre			Boulogne, Éditions de l'Architecture d'aujourd'hui, 1938. 	Lysten og hemmeligheten, bøker, fotomontasje, arkitektur, Corbusier, Jeanneret, Frankrike, Sveits, 1930-1939	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000064	L'Esprit Nouveau. Nr. 25-28	Bøker	Le Corbusier	Magasiner	L'Esprit Nouveau	1	Sikker	1924	1925	Sikker	Paris	Frankrike	Europa	Corbusier, Le (red.) & Ozenfant, Amédée (red.) 	17.5	25.3			Innbundet		Magasinet	Reol A2	Hylle 3	Høyre			Paris: Éditions de l'Esprit nouveau, nr. 25-28, 1924-1925. 	Lysten og hemmeligheten, bøker, Corbusier, Ozenfant, Frankrike, magasiner, 1920-1929	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000065	Aircraft. The New Vision, bind 1	Bøker	Le Corbusier	Bøker	Fotobøker	1	Sikker	1935		Sikker	London	Storbritannia	Europa	Corbusier, Le	18.6	25			Innbundet		Magasinet	Reol A2	Hylle 3	Høyre			London: The Studio Ldt., The New Vision series, vol. 1, 1935. 	Lysten og hemmeligheten, bøker, Corbusier, luftfartøy, foto, bøker, Frankrike, Storbritannia, 1930-1939	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000066	Housing the Airship	Bøker	Fotobøker	Bøker	Arkitektur	1	Sikker	1989		Sikker	London	Storbritannia	Europa	Dean, Christopher (red.)	27.8	29.5			Heftet		Magasinet	Reol A1	Hylle 1	Høyre, liggende			London: The Architectural Association, 1989. Utgitt i forbindelse med en utstilling ved The Architectural Association i London.	Lysten og hemmeligheten, bøker, luftfartøy, foto, bøker, arkitektur, Dean, Storbritannia, 1980-1989	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000067	Flugradbauer. Ikaros vom Lautertal genannt.	Bøker	Fotobøker			1	Sikker	1990		Sikker	Müsingen	Tyskland	Europa	Mesmer, Gustav	24.6	24.7			Heftet		Magasinet	Reol A1	Hylle 1	Høyre, liggende			Müsingen: LOBE-Verlag, 1990. Redaksjon og utforming ved Gustav-Mesmer-Stiftung. Illustrert med tegninger og fotografier av Gustav Mesmers flygemaskiner.	Lysten og hemmeligheten, bøker, luftfartøy, foto, bøker, Mesmer, Tyskland, 1990-1999	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000068	Animals in Motion	Bøker	Fotobøker			1	Sikker	1899		Sikker	London	Storbritannia	Europa	Muybridge, Eadweard	31	25.1			Innbundet		Magasinet	Reol A2	Hylle 3	Venstre			London: Chapman & Hall, LD., 1899. Fotografiske bevegelsesstudier av Eadweard Muybridge.	Lysten og hemmeligheten, bøker, foto, Muybridge, Storbritannia, film, 1890-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000069	Schönheit im Olympischen Kampf	Bøker	Fotobøker			1	Sikker	1937		Sikker	Berlin	Tyskland	Europa	Riefenstahl, Leni	23.3	30.9			Innbundet		Magasinet	Reol A2	Hylle 2	Midten			Berlin: Im Deutschen Verlag, 1937. 	Lysten og hemmeligheten, bøker, foto, Riefenstahl, Tyskland, 1930-1939	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000070	12 Million Black Voices. A Folk History of the Negro in The United States	Bøker	Fotobøker	Bøker	Etnografika	1	Sikker	1941		Sikker	New York	USA	Nord-Amerika	Wright, Richard	17.5	26			Innbundet		Magasinet	Reol A2	Hylle 3	Høyre			New York: The Viking Press, 1941. Tekst av av Richard Wright. Fotografier av Dorothea Lange, Walker Evans, Jack Delano m.fl. 	Lysten og hemmeligheten, bøker, foto, Rosskam, Wright, dokumentar, USA, 1940-1949	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000071	Fundamentals of Design Painting Sculpture Architecture. The New Vision: New Bauhaus Books, bind 1	Bøker	Kunstbøker			1	Sikker	1934		Sikker	London	Storbritannia	Europa	Moholy-Nagy, László	19	25			Innbundet		Magasinet	Reol A2	Hylle 3	Høyre			London: Faber & Faber Ltd., 1934. Nr. 1 i serien "The New Vision: New Bauhaus Books".  	Lysten og hemmeligheten, bøker, kunst, Bauhaus, Moholy-Nagy, kunstteori, Storbritannia, 1930-1939	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000072	The Street Markets of London	Bøker	Fotobøker			1	Sikker	1936		Sikker	London	Storbritannia	Europa	Benedetta, Mary	14	21.6			Innbundet		Magasinet	Reol A2	Hylle 3	Høyre			London: John Miles Ltd., 1936. Tekst av Mary Benedetta. Illustrert med fotografier av László Moholy-Nagy.	Lysten og hemmeligheten, bøker, foto, Benedetta, Moholy-Nagy, Storbritania, 1930-1939	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000040	The Great Movies Live. An Affectionate Recreation of the Silver Screen's Magic and Romance	Bøker	Pop-up			1	Sikker	1987		Sikker	London	Storbritannia	Europa	Jakubowski, Maxim & Meer, Ron van der	20	27.6			Innbundet		Magasinet	Reol A2	Hylle 3	Høyre	IKKE merket  (merkes m. tusj)		London: Ebury Press, 1987. Pop-up-bok med motiver fra kjente spillefilmer. Opprinnelig spilles filmmusikk fra en innebygget spiller når boka åpnes.	Lysten og hemmeligheten, bøker, film, Jakubowski, Meer, pop-up, Storbritannia, 1930-1939	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000055	Håndskrevet bibel	Bøker	Kalligrafiske			1	Usikker			Sikker		Etiopia	Afrika	Ukjent	12.5	17			Håndskrift på pergament, innbundet		Magasinet	Reol A1	Hylle 2	Venstre, i kasse	IKKE merket (merkes m. tusj)		Etiopia, ukjent år. Håndskrevet, koptisk bibel med tegnede illustrasjoner. Enkelte sider reparert med nål og tråd.	Lysten og hemmeligheten, Etiopia, Afrika, religiøse tekster, bibel, bøker, kalligrafiske	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000056	Håndskrevet bibel i ransel	Bøker	Kalligrafiske	Bøker	Odde bøker	2	Usikker			Sikker		Etiopia	Afrika	Ukjent	14	16	9		Håndskrift på pergament, innbundet. Tilhørende ransel i lær		Magasinet	Reol A1	Hylle 2	Venstre, i kasse	IKKE merket (merkes m. tusj)		Etiopia, ukjent år. Håndskrevet bibel med tilhørende ransel i lær. 	Lysten og hemmeligheten, Etiopia, Afrika, religiøse tekster, bibel, kalligrafiske, bøker	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000057	Poésie de mots inconnus	Bøker	Artist's books	Bøker		0	Sikker	1949		Sikker	Paris	Frankrike	Europa	Iliazd	14	17.5			Falsede, ubundne sider i omslag. Tilhørende futteral i pergament		Magasinet	Reol A1	Hylle 2	Venstre, i kasse	IKKE merket (avklare hvor)		Paris: Le Degré 41, 1949. Bokproduksjon av Iliazd (eg. Ilia Zdanevich). Fem løse bøker med med 26 originale trykk og 26 dikt av forskjellige kunstnere. Med Fernand Léger, Oscar Domínguez, Albert Gleizes, Georges Braque, Alberto Magnelli, Camille Bryen, Marc Chagall, Serge Férat, Alberto Giacometti, Jean Arp, Henri Laurens, Jacques Villon, André Masson, Henri Matisse, Jean Metzinger, Joan Miró, Pablo Picasso, Léopold Survage, Sophie Taeuber-Arp, Edgard Tytgat og Raoul Hausmann.	Lysten og hemmeligheten, bøker, artist's books, avant-garde, Frankrike, Georgia, 1940-1949	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000073	Die Gezeichneten	Bøker	Artist's books				Sikker	1930		Sikker	Berlin	Tyskland	Europa	Grosz, George	20	28.1									IKKE merket			Lysten og hemmeligheten, 	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000074	Krigsfibel	Bøker	Fotobøker				Sikker	1968		Sikker	Berlin	Tyskland	Europa	Brecht, Bertolt	24.3	29.4									IKKE merket			Lysten og hemmeligheten, 	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000075	Flowers and Pictures of The Holy Land	Bøker	Fotoalbum Odde bøker			1	Usikker	1930	1939	Sikker	Jerusalem	Israel	Asia	Ukjent	27.5	20.8			Innbundet		Magasinet	Reol A2	Hylle 3	Høyre			Jerusalem, antatt 1930-tallet. Suveniralbum bestående av fotografier og innklebede markblomster fra Det hellige land.	Lysten og hemmeligheten, fotoalbum, bøker, Israel, botanikk, 1930-1939	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000076	Le Gali Matias Album	Bøker	Odde bøker	Kuriosa		2	Sikker	1875		Sikker		Storbritannia	Europa	Ukjent	27.5	33.3			Innbundet album		Magasinet	Reol A2	Hylle 2	Venstre			England, 1875. Privat samlealbum.	Lysten og hemmeligheten, collage, album, kuriosa, bøker, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000077	Frimerkealbum	Grafikk	Hverdagsgrafikk			1	Usikker			Sikker		Norge	Europa	Ukjent	16.6	21.4			Samlet i album med plastlommer		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			Privat frimerkealbum med engelske frimerker.	Lysten og hemmeligheten, frimerker, album, hverdagsgrafikk, kobberstikk, Norge	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000078_A
	The Octavo Nature-printed British Ferns: being figures and descriptions of the species an varieties of ferns found in the United Kingdom. Bind 1	Bøker	Illustrerte			1	Sikker	1859		Sikker	London	Storbritannia	Europa	Moore, Thomas	16	25			Innbundet		Magasinet	Reol A2	Hylle 3	Midten			London: Bradbury and Evans, 1859. Bind 1. Illustrasjoner i naturtrykk av Henry Bradbury.	Lysten og hemmeligheten, botanikk, bøker, illustrerte, naturtrykk, Storbritannia, Moore, Bradbury, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000078_B
	The Octavo Nature-printed British Ferns: being figures and descriptions of the species an varieties of ferns found in the United Kingdom. Bind 2	Bøker	Illustrerte			1	Sikker	1860		Sikker	London	Storbritannia	Europa	Moore, Thomas	16	25			Innbundet		Magasinet	Reol A2	Hylle 3	Midten			London: Bradbury and Evans, 1860. Bind 2. Illustrasjoner i naturtrykk av Henry Bradbury.	Lysten og hemmeligheten, botanikk, bøker, illustrerte, naturtrykk, Storbritannia, Moore, Bradbury, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000079	Brevkortalbum	Postkort	Andre			1	Usikker	1900	1909	Sikker		Norge	Europa	Ukjent	20	28.4			Innbundet album		Magasinet	Reol A2	Hylle 2	Midten			Privat album med postkort.	Lysten og hemmeligheten, postkort, album, Norge, 1900-1909	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000080	Schwarze Wollfarbstoffe	Bøker	Prøvebøker			1	Sikker	1922				Tyskland	Europa	Farbwerke vorm. Meister Lucius & Brüning	18.6	26.5			Tekstilprøver, innbundet		Magasinet	Reol A2	Hylle 3	Venstre			Hoechst am Main: Farbwerke vorm. Meister Lucius & Brüning, 1922. Prøvebok med eksempler av fargede tekstiler.	Lysten og hemmeligheten, tekstil, prøve, bøker, Tyskland, 1920-1929	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000081	Sanghefte fra frigjøringen																								IKKE merket		Drammen 1945. Sanghefte fra frigjøringen med kamuflert fedrelandssang fra krigsårene.	Lysten og hemmeligheten, krig, Norge, 1940-1949	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000082	Oppgjør i St. Louis	Bøker	Skjønnlitteratur			1	Sikker	1978		Sikker	Oslo	Norge	Europa	Pendleton, Don	10.6	17.5			Pocket, skutt med luftgevær		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			Oslo: Zenith forlag, 1978.	Lysten og hemmeligheten, Norge, USA, pocket, Pendleton, 1970-1979	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000083	Forskriftstavle	Grafikk	Høytrykk	Plansjer / kart			Sikker	1827		Sikker	Budalen	Norge	Europa	Budalsplads, John H.	32	40			Blokktrykk, montert i glass og ramme						IKKE merket			Lysten og hemmeligheten, typografi, alfabet, tresnitt, Norge, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
